Phenotype	Column	Statistic	P-value
Genero	Enterobacter sp. E76	371.5	0.009512601996404838
Genero	Janthinobacterium svalbardensis	392.0	0.008277654695677804
Genero	Methylobacterium bullatum	392.0	0.008277654695677804
Genero	Ralstonia insidiosa	370.5	0.008609583529885985
Genero	Streptomyces sp. ICC1	392.0	0.008277654695677804
Genero	Thiomonas intermedia	371.5	0.009512601996404838
Genero	[Ruminococcus] gnavus	392.0	0.008277654695677804
Genero	Propionibacterium phage pa28	392.0	0.008277654695677804
Genero	Propionibacterium virus PHL067M01	392.0	0.008277654695677804
Genero	Propionibacterium virus PHL095N00	392.0	0.008277654695677804
CK_FEBRE	Phlebiopsis crassa	318.5	0.002230960611444422
CK_DIF_RESP	Bacillus aryabhattai	91.5	0.00012248100770987933
CK_DIF_RESP	Bdellovibrio sp. NC01	91.5	0.00012248100770987933
CK_DIF_RESP	Cellulomonas sp. Y8	91.5	0.00012248100770987933
CK_DIF_RESP	Chthoniobacter flavus	93.0	0.009312900043141606
CK_DIF_RESP	Corynebacterium aquilae	91.5	0.00012248100770987933
CK_DIF_RESP	Corynebacterium diphtheriae	53.5	0.007883822350457226
CK_DIF_RESP	Corynebacterium striatum	49.5	0.004903593431538758
CK_DIF_RESP	Curtobacterium sp. MR_MD2014	91.5	0.00012248100770987933
CK_DIF_RESP	Deinococcus wulumuqiensis	91.5	0.00012248100770987933
CK_DIF_RESP	Dolosigranulum pigrum	49.0	0.008857774536321293
CK_DIF_RESP	Eikenella corrodens	91.5	0.00012248100770987933
CK_DIF_RESP	Hydrogenophaga pseudoflava	68.0	0.0015742994047002207
CK_DIF_RESP	Hydrogenophaga sp. BA0156	71.0	0.006049589429074487
CK_DIF_RESP	Hymenobacter baengnokdamensis	91.5	0.00012248100770987933
CK_DIF_RESP	Macrococcus caseolyticus	91.5	0.00012248100770987933
CK_DIF_RESP	Macrococcus sp. 'bovinus'	91.5	0.00012248100770987933
CK_DIF_RESP	Massilia sp. LPB0304	91.5	0.00012248100770987933
CK_DIF_RESP	Methylorubrum zatmanii	91.5	0.00012248100770987933
CK_DIF_RESP	Microlunatus phosphovorus	61.0	3.389243207805909e-08
CK_DIF_RESP	Negativicoccus massiliensis	91.5	0.00012248100770987933
CK_DIF_RESP	Pantoea sp. CCBC3-3-1	91.5	0.00012248100770987933
CK_DIF_RESP	Paracoccus sp. Arc7-R13	91.5	0.00012248100770987933
CK_DIF_RESP	Prevotella jejuni	91.5	0.00012248100770987933
CK_DIF_RESP	Prevotella scopos	91.5	0.00012248100770987933
CK_DIF_RESP	Proteus mirabilis	66.0	0.00027577652795326524
CK_DIF_RESP	Pseudomonas putida	70.0	0.008989320706860992
CK_DIF_RESP	Ralstonia insidiosa	65.0	0.00021341447571344397
CK_DIF_RESP	Rothia dentocariosa	91.5	0.00012248100770987933
CK_DIF_RESP	Rothia nasimurium	91.5	0.00012248100770987933
CK_DIF_RESP	Sorangium cellulosum	66.0	0.0010425639394723988
CK_DIF_RESP	Sphingomonas sp. CL5.1	62.0	7.92251746653012e-06
CK_DIF_RESP	Sphingomonas sp. NBWT7	93.0	0.009312900043141606
CK_DIF_RESP	Sphingopyxis macrogoltabida	63.0	1.1221610663622379e-05
CK_DIF_RESP	Spirosoma sp. CJU-R4	91.5	0.00012248100770987933
CK_DIF_RESP	Staphylococcus capitis	91.5	0.00012248100770987933
CK_DIF_RESP	Streptococcus thermophilus	91.5	0.00012248100770987933
CK_DIF_RESP	Thauera sp. K11	71.0	0.006049589429074487
CK_DIF_RESP	Alternaria alternata	93.0	0.009312900043141606
CK_DIF_RESP	Arthrocladium fulminans	93.0	0.009312900043141606
CK_DIF_RESP	Aspergillus felis	91.5	0.00012248100770987933
CK_DIF_RESP	Aspergillus glaucus	91.5	0.00012248100770987933
CK_DIF_RESP	Aureobasidium pullulans	91.5	0.00012248100770987933
CK_DIF_RESP	Blumeria graminis	93.0	0.009312900043141606
CK_DIF_RESP	Botrytis cinerea	91.5	0.00012248100770987933
CK_DIF_RESP	Cladosporium perangustum	91.5	0.00012248100770987933
CK_DIF_RESP	Clonostachys rosea	91.5	0.00012248100770987933
CK_DIF_RESP	Coniothyrium glycines	91.5	0.00012248100770987933
CK_DIF_RESP	Cryptocoryneum condensatum	73.0	0.008379946745051119
CK_DIF_RESP	Cyanodermella oleoligni	91.5	0.00012248100770987933
CK_DIF_RESP	Diaporthe sp. HYK-2013	93.0	0.009312900043141606
CK_DIF_RESP	Dinemasporium sp.	93.0	0.009312900043141606
CK_DIF_RESP	Dissoconium aciculare	91.5	0.00012248100770987933
CK_DIF_RESP	Exopassalora zambiae	91.5	0.00012248100770987933
CK_DIF_RESP	Exserohilum turcicum	93.0	0.009312900043141606
